JOIN RESULT FROM pd.read_sql()
================================================================================
     category_name                                                                     title  rating  price_gbp  price_inr  in_stock
           Fiction                                                          Digital Fortress       5      58.00    6119.00      True
           Fiction                                             Kitchens of the Great Midwest       5      57.20    6034.60      True
           Fiction                                  Finders Keepers (Bill Hodges Trilogy #2)       5      53.53    5647.42      True
           Fiction                                                      The Husband's Secret       5      52.51    5539.80      True
           Fiction                                      The Regional Office Is Under Attack!       5      51.36    5418.48      True
           Fiction                                              We Love You, Charlie Freeman       5      50.27    5303.48      True
           Fiction                                  Crazy Rich Asians (Crazy Rich Asians #1)       5      49.13    5183.22      True
           Fiction                                               Private Paris (Private #10)       5      47.61    5022.85      True
           Fiction                                   The Silent Sister (Riley MacPherson #1)       5      46.29    4883.60      True
           Fiction                                               Inferno (Robert Langdon #4)       5      41.00    4325.50      True
           Fiction                                                              Bright Lines       5      39.07    4121.88      True
           Fiction                                                                Siddhartha       5      34.22    3610.21      True
           Fiction                                                           The Time Keeper       5      27.88    2941.34      True
           Fiction                                                            Atlas Shrugged       5      26.58    2804.19      True
           Fiction                                                                    Thirst       5      17.27    1821.98      True
           Fiction                                                           The Silent Wife       5      12.34    1301.87      True
           Fiction                                                        Dear Mr. Knightley       5      11.21    1182.66      True
           Fiction                                                                     Shtum       4      55.84    5891.12      True
           Fiction                                                     The Testament of Mary       4      52.67    5556.68      True
           Fiction                                     The Bourne Identity (Jason Bourne #1)       4      42.78    4513.29      True
           Fiction                                                           The Vacationers       4      42.15    4446.82      True
           Fiction                                                           Deception Point       4      40.32    4253.76      True
           Fiction                                                               Sister Dear       4      40.20    4241.10      True
           Fiction                                                           The Nightingale       4      26.26    2770.43      True
           Fiction                                                         Hystopia: A Novel       4      21.96    2316.78      True
           Fiction                                                      Eight Hundred Grapes       4      14.39    1518.14      True
           Fiction                                                 I Am Pilgrim (Pilgrim #1)       4      10.60    1118.30      True
           Fiction                                         Last One Home (New Beginnings #1)       3      59.98    6327.89      True
           Fiction                         The Murder That Never Was (Forensic Instincts #5)       3      54.11    5708.60      True
